note_id,guid,notetype,assignment,original_tags,new_tags
1498349434783,G=iGSX#zmI,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434784,ttjR]bBE3!,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434785,s+v1(7N?u@,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434786,qa9$A>ifBk,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434787,y3c67NqU=w,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434788,"Eg,kDV;VY/",HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434789,rDSO]^b}2/,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434790,N}Qn~[1ae<,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434791,mZDI<6O-zz,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434792,pR>%1*s<AY,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434793,s#ug9B(?YX,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434794,g8j=UYWUz*,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434795,cOuoWdmJR_,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434796,"H,%W*[z*3b",HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434797,"PR(;5xx,9N",HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434798,LlC:2meAWC,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434799,AIj4EDsOEH,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434800,QprsK&~^<.,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434801,dRS:|$eAQZ,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434802,u<Xtnu>F$<,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434803,iy4Z2-oYDE,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434804,qkXm>H(xq/,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434805,qy!bTqydKC,HJI Shared,exp::control,HJI_C01 Informals1,HJI_C01 Informals1 exp::control
1498349434806,zyT**)yKHk,HJI Shared,exp::treatment,HJI_C01 Informals1,HJI_C01 Informals1 exp::treatment
1498349434807,G.QEFwR_Cj,HJI Shared,exp::control,Arriving HJI_C02,Arriving HJI_C02 exp::control
1498349434808,gJEmlCiKs*,HJI Shared,exp::treatment,Arriving HJI_C02,Arriving HJI_C02 exp::treatment
1498349434809,q&&1~abIo1,HJI Shared,exp::control,Arriving HJI_C02,Arriving HJI_C02 exp::control
1498349434810,on11PCNF%x,HJI Shared,exp::treatment,Arriving HJI_C02,Arriving HJI_C02 exp::treatment
1498349434811,GO?C)>lyfc,HJI Shared,exp::treatment,Arriving HJI_C02,Arriving HJI_C02 exp::treatment
